,Episode,Score,Moving Average Score (n=50)
692,692,20.0,17.58
693,693,19.0,17.6
694,694,21.0,17.72
695,695,16.0,17.66
696,696,18.0,17.74
697,697,15.0,17.62
698,698,19.0,17.66
699,699,19.0,17.64
700,700,19.0,17.64
701,701,19.0,17.62
702,702,20.0,17.64
703,703,15.0,17.56
704,704,14.0,17.5
705,705,14.0,17.38
706,706,16.0,17.32
707,707,19.0,17.34
708,708,18.0,17.36
709,709,14.0,17.3
710,710,17.0,17.32
711,711,14.0,17.26
712,712,20.0,17.36
713,713,19.0,17.4
714,714,18.0,17.38
715,715,18.0,17.4
716,716,10.0,17.24
717,717,18.0,17.22
718,718,13.0,17.1
719,719,14.0,17.06
720,720,16.0,17.04
721,721,18.0,17.02
722,722,18.0,17.12
723,723,20.0,17.22
724,724,17.0,17.26
725,725,19.0,17.32
726,726,14.0,17.26
727,727,17.0,17.22
728,728,19.0,17.2
729,729,19.0,17.22
730,730,19.0,17.26
731,731,19.0,17.34
732,732,19.0,17.32
733,733,19.0,17.3
734,734,14.0,17.24
735,735,18.0,17.26
736,736,19.0,17.3
737,737,19.0,17.36
738,738,19.0,17.4
739,739,17.0,17.32
740,740,17.0,17.34
741,741,17.0,17.38
742,742,16.0,17.3
743,743,19.0,17.3
744,744,16.0,17.2
745,745,20.0,17.28
746,746,20.0,17.32
747,747,20.0,17.42
748,748,19.0,17.42
749,749,20.0,17.44
750,750,19.0,17.44
