,Episode,Score,Moving Average Score (n=50)
502,502,16.0,17.46
503,503,19.0,17.42
504,504,20.0,17.48
505,505,20.0,17.72
506,506,17.0,17.68
507,507,19.0,17.64
508,508,21.0,17.88
509,509,19.0,18.06
510,510,20.0,18.06
511,511,17.0,18.06
512,512,18.0,18.0
513,513,21.0,18.08
514,514,19.0,18.04
515,515,21.0,18.04
516,516,21.0,18.08
517,517,17.0,18.04
518,518,20.0,18.14
519,519,17.0,18.06
520,520,18.0,18.1
521,521,18.0,18.12
522,522,18.0,18.16
523,523,18.0,18.28
524,524,18.0,18.26
525,525,20.0,18.32
526,526,20.0,18.34
527,527,21.0,18.38
528,528,18.0,18.38
529,529,20.0,18.36
530,530,19.0,18.4
531,531,17.0,18.4
532,532,15.0,18.36
533,533,17.0,18.32
534,534,17.0,18.34
535,535,14.0,18.3
536,536,15.0,18.18
537,537,20.0,18.22
538,538,17.0,18.2
539,539,17.0,18.16
540,540,18.0,18.2
541,541,15.0,18.18
542,542,19.0,18.18
543,543,20.0,18.24
544,544,17.0,18.2
545,545,18.0,18.18
546,546,19.0,18.2
547,547,16.0,18.2
548,548,20.0,18.2
549,549,13.0,18.14
550,550,13.0,18.06
551,551,21.0,18.16
552,552,18.0,18.2
553,553,19.0,18.2
554,554,19.0,18.18
555,555,18.0,18.14
556,556,21.0,18.22
557,557,21.0,18.26
558,558,20.0,18.24
559,559,20.0,18.26
560,560,18.0,18.22
561,561,16.0,18.2
562,562,19.0,18.22
563,563,18.0,18.16
564,564,12.0,18.02
565,565,18.0,17.96
566,566,19.0,17.92
567,567,17.0,17.92
568,568,20.0,17.92
569,569,21.0,18.0
570,570,18.0,18.0
571,571,19.0,18.02
572,572,18.0,18.02
573,573,21.0,18.08
574,574,20.0,18.12
575,575,20.0,18.12
576,576,17.0,18.06
577,577,17.0,17.98
578,578,20.0,18.02
579,579,21.0,18.04
580,580,21.0,18.08
581,581,19.0,18.12
582,582,20.0,18.22
583,583,19.0,18.26
584,584,18.0,18.28
585,585,20.0,18.4
586,586,18.0,18.46
587,587,17.0,18.4
588,588,12.0,18.3
589,589,18.0,18.32
590,590,17.0,18.3
591,591,18.0,18.36
592,592,20.0,18.38
593,593,19.0,18.36
594,594,19.0,18.4
595,595,20.0,18.44
596,596,20.0,18.46
597,597,20.0,18.54
598,598,21.0,18.56
599,599,20.0,18.7
600,600,21.0,18.86
601,601,19.0,18.82
602,602,18.0,18.82
603,603,21.0,18.86
604,604,19.0,18.86
605,605,20.0,18.9
606,606,20.0,18.88
607,607,21.0,18.88
608,608,20.0,18.88
609,609,21.0,18.9
610,610,21.0,18.96
611,611,21.0,19.06
612,612,18.0,19.04
613,613,16.0,19.0
614,614,19.0,19.14
615,615,21.0,19.2
616,616,21.0,19.24
617,617,20.0,19.3
618,618,20.0,19.3
619,619,18.0,19.24
620,620,20.0,19.28
621,621,18.0,19.26
622,622,17.0,19.24
623,623,20.0,19.22
624,624,21.0,19.24
625,625,19.0,19.22
626,626,19.0,19.26
627,627,20.0,19.32
628,628,20.0,19.32
629,629,16.0,19.22
630,630,21.0,19.22
631,631,20.0,19.24
632,632,19.0,19.22
633,633,14.0,19.12
634,634,18.0,19.12
635,635,19.0,19.1
636,636,17.0,19.08
637,637,20.0,19.14
638,638,17.0,19.24
639,639,18.0,19.24
640,640,17.0,19.24
641,641,15.0,19.18
642,642,17.0,19.12
643,643,21.0,19.16
644,644,17.0,19.12
645,645,17.0,19.06
646,646,21.0,19.08
647,647,15.0,18.98
648,648,19.0,18.94
649,649,20.0,18.94
650,650,13.0,18.78
651,651,21.0,18.82
652,652,19.0,18.84
653,653,18.0,18.78
654,654,21.0,18.82
655,655,21.0,18.84
656,656,16.0,18.76
657,657,16.0,18.66
658,658,15.0,18.56
659,659,18.0,18.5
660,660,20.0,18.48
661,661,19.0,18.44
662,662,19.0,18.46
663,663,21.0,18.56
664,664,21.0,18.6
665,665,19.0,18.56
666,666,21.0,18.56
667,667,17.0,18.5
668,668,17.0,18.44
669,669,19.0,18.46
670,670,20.0,18.46
671,671,19.0,18.48
672,672,18.0,18.5
673,673,15.0,18.4
674,674,19.0,18.36
675,675,20.0,18.38
676,676,19.0,18.38
677,677,21.0,18.4
678,678,17.0,18.34
679,679,18.0,18.38
680,680,17.0,18.3
681,681,17.0,18.24
682,682,21.0,18.28
683,683,18.0,18.36
684,684,17.0,18.34
685,685,20.0,18.36
686,686,21.0,18.44
687,687,19.0,18.42
688,688,17.0,18.42
689,689,19.0,18.44
690,690,19.0,18.48
691,691,21.0,18.6
692,692,17.0,18.6
693,693,18.0,18.54
694,694,20.0,18.6
695,695,19.0,18.64
696,696,20.0,18.62
697,697,20.0,18.72
698,698,16.0,18.66
699,699,14.0,18.54
700,700,21.0,18.7
701,701,19.0,18.66
702,702,18.0,18.64
703,703,19.0,18.66
704,704,19.0,18.62
705,705,19.0,18.58
706,706,19.0,18.64
707,707,20.0,18.72
708,708,18.0,18.78
709,709,19.0,18.8
710,710,17.0,18.74
711,711,20.0,18.76
712,712,20.0,18.78
713,713,21.0,18.78
714,714,21.0,18.78
715,715,21.0,18.82
716,716,20.0,18.8
717,717,18.0,18.82
718,718,20.0,18.88
719,719,21.0,18.92
720,720,19.0,18.9
721,721,19.0,18.9
722,722,18.0,18.9
723,723,15.0,18.9
724,724,21.0,18.94
725,725,18.0,18.9
726,726,19.0,18.9
727,727,19.0,18.86
728,728,20.0,18.92
729,729,19.0,18.94
730,730,18.0,18.96
731,731,20.0,19.02
732,732,17.0,18.94
733,733,18.0,18.94
734,734,18.0,18.96
735,735,21.0,18.98
736,736,19.0,18.94
737,737,21.0,18.98
738,738,19.0,19.02
739,739,18.0,19.0
740,740,19.0,19.0
741,741,18.0,18.94
742,742,21.0,19.02
743,743,21.0,19.08
744,744,18.0,19.04
745,745,19.0,19.04
746,746,19.0,19.02
747,747,18.0,18.98
748,748,21.0,19.08
749,749,21.0,19.22
750,750,19.0,19.18
